Index,Location,Notes,LocID,Country Code,LocType,LocTypeName,ParentID,WorldID,SubRegID,SubRegName,SDGSubRegID,SDGSubRegName,SDGRegID,SDGRegName,GeoRegID,GeoRegName,MoreDev,LessDev,LeastDev,oLessDev,LessDev_ExcludingChina,LLDC,SIDS,WB_HIC,WB_MIC,WB_UMIC,WB_LMIC,WB_LIC,WB_NoIncomeGroup,MaxHIV_Male,MaxHIV_Female,MaxHIV_BothSexes,YearMaxHIV_BothSexes,HIVAIDSMortalityImpact_AgePattern,HIVAIDSMortalityImpact_e0,TotPop2019LessThan90k
155,"Bonaire, Sint Eustatius and Saba",15,535,BES,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,,Yes
156,British Virgin Islands,14,92,VGB,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
157,Cayman Islands,14,136,CYM,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
158,Cuba,,192,CUB,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,0.62,0.26,0.44,2017,,,
159,Curaçao,15,531,CUW,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,
160,Dominica,,212,DMA,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,,Yes
161,Dominican Republic,,214,DOM,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,2.30,1.60,1.95,2002,,Yes,
162,Grenada,,308,GRD,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
163,Guadeloupe,2,312,GLP,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,,
164,Haiti,,332,HTI,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,941,,948,,1637,,,,,1500,,1.82,2.30,2.02,2002,,Yes,
165,Jamaica,,388,JAM,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,3.14,1.96,2.54,1999,,Yes,
166,Martinique,2,474,MTQ,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,,
167,Montserrat,14,500,MSR,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,,Yes
168,Puerto Rico,16,630,PRI,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,
169,Saint Barthélemy,2,652,BLM,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,,Yes
170,Saint Kitts and Nevis,,659,KNA,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
171,Saint Lucia,,662,LCA,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
172,Saint Martin (French part),2,663,MAF,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
173,Saint Vincent and the Grenadines,,670,VCT,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
174,Sint Maarten (Dutch part),15,534,SXM,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
175,Trinidad and Tobago,,780,TTO,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,1.62,0.84,1.21,2010,,Yes,
176,Turks and Caicos Islands,14,796,TCA,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
177,United States Virgin Islands,16,850,VIR,4,Country/Area,915,   900,915,Caribbean,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,,
178,Central America,,916,   ,3,Subregion,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Belize,,84,BLZ,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.98,1.77,1.88,2017,,Yes,
180,Costa Rica,,188,CRI,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.56,0.24,0.40,2017,,,
181,El Salvador,,222,SLV,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,0.83,0.41,0.60,2014,,,
182,Guatemala,,320,GTM,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.66,0.35,0.49,2010,,,
183,Honduras,,340,HND,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,1.83,0.75,1.28,1996,,Yes,
184,Mexico,,484,MEX,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.43,0.13,0.28,2017,,,
185,Nicaragua,,558,NIC,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,0.45,0.20,0.32,2004,,,
186,Panama,,591,PAN,4,Country/Area,916,   900,916,Central America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,1.33,0.61,0.97,2017,,Yes,
187,South America,,931,   ,3,Subregion,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Argentina,,32,ARG,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.57,0.28,0.43,2017,,,
189,Bolivia (Plurinational State of),,68,BOL,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,1636,,,1517,,1501,,,0.44,0.20,0.32,2017,,,
190,Brazil,,76,BRA,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.78,0.44,0.61,2017,,,
191,Chile,,152,CHL,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.81,0.32,0.57,2017,,,
192,Colombia,,170,COL,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.76,0.42,0.59,1999,,,
193,Ecuador,,218,ECU,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.52,0.23,0.37,2001,,,
194,Falkland Islands (Malvinas),17,238,FLK,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,,Yes
195,French Guiana,2,254,GUF,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,,
196,Guyana,,328,GUY,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.73,1.65,1.69,2017,,Yes,
197,Paraguay,,600,PRY,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,1636,,,1517,1502,,,,0.64,0.30,0.47,2017,,,
198,Peru,,604,PER,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.89,0.36,0.62,1993,,,
199,Suriname,,740,SUR,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.47,1.39,1.35,2017,,Yes,
200,Uruguay,,858,URY,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.86,0.36,0.59,2017,,,
201,Venezuela (Bolivarian Republic of),,862,VEN,4,Country/Area,931,   900,931,South America,,,1830,Latin America and the Caribbean,904,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,,,,,,,
202,AUSTRALIA/NEW ZEALAND,,927,   ,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Australia,18,36,AUS,4,Country/Area,927,   900,927,Australia/New Zealand,,,927,Australia/New Zealand,909,Oceania,901,,,,,,,1503,,,,,,0.20,0.03,0.11,2017,,,
204,New Zealand,19,554,NZL,4,Country/Area,927,   900,927,Australia/New Zealand,,,927,Australia/New Zealand,909,Oceania,901,,,,,,,1503,,,,,,0.18,0.06,0.12,2017,,,
205,OCEANIA (excluding Australia and New Zealand),,1835,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Melanesia,,928,   ,3,Subregion,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Fiji,,242,FJI,4,Country/Area,928,   900,928,Melanesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
208,New Caledonia,2,540,NCL,4,Country/Area,928,   900,928,Melanesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,,
209,Papua New Guinea,,598,PNG,4,Country/Area,928,   900,928,Melanesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,,1501,,,0.76,1.04,0.89,2004,,Yes,
210,Solomon Islands,,90,SLB,4,Country/Area,928,   900,928,Melanesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,,
211,Vanuatu,,548,VUT,4,Country/Area,928,   900,928,Melanesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,,
212,Micronesia,,954,   ,3,Subregion,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Guam,16,316,GUM,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,,
214,Kiribati,,296,KIR,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,,
215,Marshall Islands,,584,MHL,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,Yes
216,Micronesia (Fed. States of),,583,FSM,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,,1501,,,,,,,,,
217,Nauru,,520,NRU,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,Yes
218,Northern Mariana Islands,16,580,MNP,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
219,Palau,,585,PLW,4,Country/Area,954,   900,954,Micronesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,,Yes
220,Polynesia,20,957,   ,3,Subregion,1835,,,,,,1835,,,,,,,,,,,,,,,,,,,,,,,
221,American Samoa,16,16,ASM,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,Yes
222,Cook Islands,21,184,COK,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,,,,,1518,,,,,,,Yes
223,French Polynesia,2,258,PYF,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,,
224,Niue,21,570,NIU,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,,,,,1518,,,,,,,Yes
225,Samoa,,882,WSM,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
226,Tokelau,21,772,TKL,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,,,,,,,1518,,,,,,,Yes
227,Tonga,,776,TON,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,,
228,Tuvalu,,798,TUV,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,941,,948,,1637,,1517,1502,,,,,,,,,,Yes
229,Wallis and Futuna Islands,2,876,WLF,4,Country/Area,957,   900,957,Polynesia,,,1835,Oceania (excluding Australia and New Zealand),909,Oceania,,902,,934,948,,,,,,,,1518,,,,,,,Yes
230,EUROPE AND NORTHERN AMERICA,,1829,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,EUROPE,,917,   ,24,SDG subregion,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Eastern Europe,,923,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Belarus,,112,BLR,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.49,0.40,0.45,2017,,,
234,Bulgaria,,100,BGR,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.11,0.03,0.07,2017,,,
235,Czechia,,203,CZE,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.08,0.01,0.05,2017,,,
236,Hungary,,348,HUN,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.08,0.01,0.05,2017,,,
237,Poland,,616,POL,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
238,Republic of Moldova,22,498,MDA,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,1636,,,1517,,1501,,,0.69,0.42,0.56,2017,,,
239,Romania,,642,ROU,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.19,0.10,0.15,2017,,,
240,Russian Federation,,643,RUS,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,1.42,0.88,1.15,2017,,Yes,
241,Slovakia,,703,SVK,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.04,0.02,0.03,2017,,,
242,Ukraine,23,804,UKR,4,Country/Area,923,   900,923,Eastern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,,1501,,,1.22,0.87,0.97,2006,,Yes,
243,Northern Europe,,924,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Channel Islands,24,830,CHI,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
245,Denmark,25,208,DNK,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.22,0.10,0.16,2007,,,
246,Estonia,,233,EST,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.87,0.44,0.66,2017,,,
247,Faroe Islands,26,234,FRO,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
248,Finland,27,246,FIN,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
249,Iceland,,352,ISL,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
250,Ireland,,372,IRL,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.28,0.15,0.22,2017,,,
251,Isle of Man,14,833,IMN,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
252,Latvia,,428,LVA,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
253,Lithuania,,440,LTU,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.22,0.10,0.16,2017,,,
254,Norway,28,578,NOR,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
255,Sweden,,752,SWE,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
256,United Kingdom,29,826,GBR,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
257,Southern Europe,,925,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Albania,,8,ALB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.11,0.05,0.08,2017,,,
259,Andorra,,20,AND,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
260,Bosnia and Herzegovina,,70,BIH,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,,,,,,,
261,Croatia,,191,HRV,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
262,Gibraltar,14,292,GIB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
263,Greece,,300,GRC,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.34,0.08,0.21,2017,,,
264,Holy See,30,336,VAT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,,,,,1518,,,,,,,Yes
265,Italy,,380,ITA,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.39,0.18,0.28,2005,,,
266,Malta,,470,MLT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
267,Montenegro,,499,MNE,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.09,0.04,0.07,2017,,,
268,North Macedonia,,807,MKD,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,1636,,,1517,1502,,,,0.05,0.01,0.03,2017,,,
269,Portugal,,620,PRT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.88,0.35,0.61,2008,,,
270,San Marino,,674,SMR,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
271,Serbia,31,688,SRB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.07,0.03,0.05,2017,,,
272,Slovenia,,705,SVN,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.14,0.02,0.08,2017,,,
273,Spain,32,724,ESP,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.66,0.21,0.44,2013,,,
274,Western Europe,,926,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Austria,,40,AUT,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.18,0.06,0.12,2016,,,
276,Belgium,,56,BEL,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
277,France,33,250,FRA,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.61,0.32,0.46,2015,,,
278,Germany,,276,DEU,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.22,0.09,0.16,2017,,,
279,Liechtenstein,,438,LIE,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
280,Luxembourg,,442,LUX,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.41,0.12,0.27,2017,,,
281,Monaco,,492,MCO,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
282,Netherlands,34,528,NLD,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.32,0.08,0.20,2013,,,
283,Switzerland,,756,CHE,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
284,NORTHERN AMERICA,,918,   ,24,SDG subregion,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Bermuda,14,60,BMU,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,1637,1503,,,,,,,,,,,,Yes
286,Canada,,124,CAN,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,
287,Greenland,26,304,GRL,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,Yes
288,Saint Pierre and Miquelon,2,666,SPM,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,,,,,,1518,,,,,,,Yes
289,United States of America,35,840,USA,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,