Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,906812.8125,1046118.0,1107735.25,1103819.375,1219780.25,1204097.5,1149589.375,1351656.125,1360817.375,1371321.25
ALB,163120.375,173394.25,163361.375,170890.859375,211204.390625,209133.078125,219219.453125,217175.75,224225.015625,229818.328125
ARG,2876207.25,3099233.75,3156028.75,3166597.5,3204576.5,3234959.75,3183677.75,3316644.25,3361086.5,3374818.5
ARM,54532.48828125,55731.41796875,61172.0390625,66889.3515625,94606.4453125,80520.2265625,87297.3125,95323.90625,97055.1328125,98945.8671875
ATG,12565.775390625,13455.8359375,12685.4375,11986.787109375,11352.8857421875,10892.7275390625,10399.8828125,9718.626953125,10382.6123046875,10975.7314453125
AUS,4241993.0,4348664.0,4862428.0,5402773.5,6004095.5,5897907.5,6006131.5,5693317.5,5795476.5,5899094.0
AUT,1974955.375,2107997.25,2366319.75,2448908.0,2550435.5,2696989.25,2797338.25,2802257.25,2835065.0,2875459.75
AZE,122581.765625,131371.328125,150966.4375,158833.515625,223600.15625,211147.71875,226274.15625,253675.515625,263342.59375,273638.75
BDI,14188.482421875,14417.8662109375,13180.7265625,12689.8349609375,13673.9755859375,14103.9013671875,16071.9599609375,17445.45703125,18111.232421875,18806.583984375
BEL,2837390.75,2881892.5,3198966.0,3244034.25,3208622.25,3290149.75,3400537.75,3383567.25,3436159.5,3496175.0
BEN,60880.2109375,63203.62109375,62226.171875,66340.5625,67093.828125,69432.8828125,72821.1484375,74870.3359375,81024.5078125,88006.9375
BFA,56276.91796875,61479.8515625,61112.640625,65543.546875,62999.30078125,60657.2421875,66440.28125,72456.4140625,78750.5703125,86375.1015625
BGD,1234244.875,1390265.125,1522656.625,1658249.375,1828391.75,1999870.0,2188867.75,2399446.0,2611485.5,2843306.5
BGR,358049.65625,360970.5625,387243.34375,381212.3125,397034.09375,407637.5625,412716.3125,433696.53125,445620.46875,458279.15625
BHR,233892.203125,244149.984375,314083.0,279038.5,288766.34375,297085.6875,318826.5,384923.0,407005.78125,428701.65625
BHS,65629.7578125,69530.015625,66475.4765625,67769.8828125,69575.2578125,70277.65625,71015.6640625,72809.5703125,74514.3828125,76626.078125
BIH,100617.8984375,114522.125,114323.359375,123105.6875,127401.28125,127161.6171875,122302.4453125,128190.9765625,133064.484375,138297.5
BLR,446344.375,458664.625,446906.8125,491409.65625,629745.8125,574858.5625,598473.0,634667.375,643405.1875,656323.125
BLZ,5264.34716796875,5685.92626953125,5937.80615234375,6425.0986328125,6864.69775390625,7731.2626953125,8597.5859375,9398.0576171875,9674.0791015625,9956.20703125
BMU,15635.5517578125,16148.1533203125,14889.009765625,13792.0498046875,12840.662109375,12102.4267578125,11500.20703125,11038.2177734375,11113.244140625,11334.5380859375
BOL,119856.5703125,129147.4453125,135574.625,144313.15625,156672.734375,170339.515625,181133.03125,198068.0625,207563.21875,215585.515625
BRA,12942057.0,14173476.0,14178964.0,14193204.0,14292413.0,13952505.0,13505046.0,13467872.0,13554706.0,13677290.0
BRB,22017.998046875,24239.470703125,25045.962890625,24763.451171875,25140.396484375,24904.53515625,25698.2578125,34193.328125,34017.08203125,33888.20703125
BRN,117019.484375,125625.953125,138809.3125,157855.203125,162192.453125,159174.578125,166942.828125,185220.515625,193136.328125,200159.75
BTN,31289.72265625,34588.46875,38247.03125,39330.77734375,43194.89453125,47105.0625,51245.82421875,56321.671875,58780.94140625,61204.9375
BWA,141058.796875,155429.46875,157598.09375,157499.546875,161217.125,163059.9375,163885.296875,166635.953125,176225.609375,186374.609375
CAF,19796.97265625,22662.47265625,23253.935546875,25260.328125,27053.443359375,27770.03515625,28443.77734375,31075.3125,31512.13671875,31822.4453125
CAN,6160862.0,6584164.0,7023821.5,7443675.0,7889559.0,8333818.5,8527152.0,8399451.0,8555011.0,8721109.0
CHE,2323142.75,2663062.25,2795723.0,2615295.25,2807961.25,2960074.25,3064897.25,3143936.75,3187964.75,3225664.0
CHL,1181123.75,1292031.125,1383793.875,1565825.75,1510721.625,1747526.0,1800800.875,1949156.75,2009627.125,2075795.0
CHN,51907732.0,58610932.0,63397776.0,68379848.0,73028176.0,75872464.0,80571544.0,85568768.0,93338152.0,101544168.0
CIV,131729.1875,166422.734375,175984.109375,179447.671875,200063.40625,217906.65625,214802.71875,212095.390625,232406.4375,255208.796875
CMR,173103.0625,183661.765625,182872.421875,189430.453125,196692.59375,202993.375,209305.84375,225862.46875,237283.671875,249906.4375
COD,191139.15625,176630.375,110790.9609375,198719.265625,239121.09375,264618.96875,283186.28125,244157.34375,258777.046875,270620.8125
COG,103686.90625,124076.9140625,132704.78125,127841.3984375,135386.40625,141854.0,143572.203125,140316.3125,140610.09375,141415.140625
COL,1894346.0,1986112.375,1976564.125,1988578.75,2030563.375,2056294.0,2056220.0,2056162.75,2122432.5,2194572.5
COM,12540.39453125,12178.3759765625,11642.4794921875,12635.796875,12105.2646484375,10680.189453125,11634.6435546875,12683.8662109375,12774.4599609375,12915.6015625
CPV,15211.5908203125,16405.6796875,15899.798828125,15490.806640625,15984.1181640625,16564.134765625,17551.201171875,17652.275390625,18443.58203125,19152.57421875
CRI,193023.4375,203608.3125,210644.65625,214141.21875,218221.609375,221008.9375,225579.328125,222963.796875,230247.171875,236104.75
CYP,177290.109375,175184.421875,188410.78125,196146.09375,187135.90625,200722.78125,204635.171875,209223.359375,211874.40625,214205.0625
CZE,1949590.125,2134181.0,2203981.25,2212210.25,2254206.5,2255350.0,2348605.5,2330539.25,2352701.25,2375330.25
DEU,16566225.0,17233948.0,18135912.0,18967338.0,19777244.0,19994848.0,20227082.0,20453238.0,20650968.0,20907856.0
DJI,9458.4609375,10801.67578125,11950.146484375,8222.0078125,8601.5146484375,9326.68359375,9246.369140625,9542.21484375,10366.5966796875,11176.5166015625
DMA,2374.6484375,2580.43115234375,2538.001953125,2471.13818359375,2475.2451171875,2500.742919921875,2497.27685546875,2560.524658203125,2742.363525390625,2821.06884765625
DNK,1285956.375,1398277.625,1392568.875,1418508.375,1422894.875,1417751.25,1506761.125,1549657.75,1568493.375,1594880.0
DOM,413635.1875,443888.21875,470294.03125,495423.875,527240.0625,584770.3125,633909.5625,685135.6875,727584.0625,774568.875
ECU,712876.125,756604.25,795891.0,847052.1875,909502.4375,966464.5625,1031335.0625,1103712.75,1133980.125,1162897.125
EGY,1295158.375,1416576.125,1494905.625,1505560.375,1447854.0,1651674.125,1711493.375,1674008.375,1739027.375,1822150.5
ESP,10397201.0,10458074.0,10755960.0,10506893.0,10877926.0,10962670.0,11464665.0,11452466.0,11607001.0,11827519.0
EST,169005.4375,186502.125,188676.375,194410.453125,197834.3125,194160.625,199348.921875,208487.015625,213082.078125,219444.09375
ETH,272075.3125,306460.15625,309434.625,309505.71875,360833.15625,403752.9375,429207.0,486344.40625,556774.1875,648750.0
FIN,1193029.5,1236101.25,1311024.25,1293886.75,1259012.75,1231949.875,1265614.5,1237802.375,1258960.0,1281196.5
FJI,16184.1357421875,18086.880859375,18563.28515625,20620.765625,23197.85546875,25734.845703125,26781.50390625,26875.447265625,27670.205078125,28567.251953125
FRA,14135247.0,14813058.0,14971654.0,15860023.0,16363345.0,16506730.0,16967790.0,17562930.0,17742972.0,17987252.0
GAB,120441.984375,120726.984375,109874.421875,115006.046875,134062.28125,136659.921875,122252.7578125,123895.1328125,125942.0546875,128428.125
GBR,11924992.0,11398220.0,12555421.0,14047743.0,14052817.0,15216962.0,14695206.0,14915074.0,15103278.0,15302674.0
GEO,93692.0859375,94160.140625,121871.2109375,141087.65625,160512.71875,192503.546875,239987.984375,283682.15625,288968.46875,297316.0
GHA,609547.5,678324.9375,718719.25,755428.5625,747934.375,702460.3125,513163.15625,395438.96875,409933.4375,421221.875
GIN,32083.80859375,34759.7265625,37777.125,36273.03515625,35541.0625,37525.2109375,47333.6015625,52778.0703125,55215.6171875,56857.53515625
GMB,14764.92578125,15259.1376953125,14057.5576171875,12844.830078125,12989.607421875,12697.435546875,11921.8095703125,11217.1484375,11544.3095703125,12008.9404296875
GNB,6314.33984375,6297.64501953125,6212.99267578125,6007.12158203125,6057.5322265625,6061.27880859375,6078.29443359375,6106.13134765625,6201.8291015625,6250.8916015625
GNQ,84666.2265625,121166.09375,140502.453125,141465.703125,144822.28125,142205.609375,127881.8359375,123777.5390625,120311.2734375,116049.5078125
GRC,2055301.375,1979632.875,2391202.0,2638888.25,2726219.25,2679372.75,2568974.25,2612084.0,2587820.0,2565751.0
GRD,6870.10693359375,7217.2880859375,6957.56787109375,6784.671875,6612.30322265625,6484.45947265625,6385.548828125,6383.478515625,6579.646484375,6703.8291015625
GTM,351259.84375,367318.25,375073.09375,367179.5,375946.6875,415737.53125,435768.375,431804.4375,440240.6875,450848.75
HKG,1917344.0,2034452.0,2113565.75,2319683.5,2380775.0,2453276.25,2492740.75,2537193.5,2561054.25,2566180.0
HND,129202.953125,139775.25,152746.140625,161235.6875,175086.671875,193234.125,210900.671875,222287.140625,229545.09375,235830.921875
HRV,487488.40625,545861.5,590023.5625,579116.125,575485.875,594486.5625,591322.0,590664.5,595461.875,602383.25
HUN,1061558.5,1111350.25,1192303.75,1263014.875,1256729.625,1307003.125,1386697.375,1356071.5,1388245.875,1428009.375
IDN,10484265.0,12243238.0,12729774.0,13209199.0,13831939.0,14473701.0,15060464.0,15823088.0,16754064.0,18173848.0
IND,21301734.0,23749638.0,25450348.0,26769772.0,27900646.0,28751646.0,29931854.0,31536496.0,33494530.0,35324124.0
IRL,1060507.25,1124610.625,1190114.375,1245708.625,1292371.375,1329451.5,1509385.5,1580245.875,1651701.0,1868599.25
IRN,5502156.0,5843048.5,6046859.5,6014899.0,6126217.0,6275914.5,6416570.0,6689974.5,6755383.0,6824485.0
IRQ,607580.75,699811.0,725709.4375,807918.9375,1001340.875,825483.6875,744426.0,1058609.375,1086669.0,1132113.125
ISL,65932.078125,64544.36328125,69837.4921875,75712.1328125,79712.546875,81976.6875,88932.6640625,91529.625,92903.9140625,93709.984375
ISR,868753.125,894681.3125,978570.75,1062165.875,1149322.5,1127497.125,1175137.75,1146041.625,1185933.75,1226272.125
ITA,13689293.0,15249784.0,17351088.0,17177916.0,17346424.0,17921584.0,19327484.0,18760782.0,18794638.0,18855818.0
JAM,165454.171875,173689.203125,164516.84375,163179.09375,158744.734375,155404.90625,151915.890625,149549.390625,150704.9375,152178.1875
JOR,296563.0625,317451.84375,302758.5,304175.625,303384.03125,334563.3125,314469.1875,328908.1875,344772.53125,360493.6875
JPN,28888310.0,28615420.0,27965012.0,27233252.0,26727056.0,26747970.0,26883298.0,25966410.0,25999172.0,26102876.0
KAZ,880149.4375,891500.125,928390.3125,952707.375,1185970.5,1009700.125,1037559.1875,1083794.75,1111227.125,1148598.75
KEN,292414.0,319778.125,326521.15625,350446.21875,387142.625,416040.59375,439421.71875,494175.0,516748.78125,540344.6875
KGZ,35843.6875,36762.4375,41889.890625,47221.73046875,74972.8515625,60981.734375,69137.0234375,79189.5859375,83350.140625,87622.6015625
KHM,89775.921875,95919.0703125,104989.1953125,116254.46875,130778.1015625,145634.328125,161762.71875,179704.4375,194556.546875,210421.953125
KNA,9095.3603515625,9908.171875,10209.28125,10257.7216796875,10513.6748046875,10880.9765625,11425.7568359375,10849.78515625,11092.015625,11312.9072265625
KOR,7595314.0,7565400.0,8102998.5,8594314.0,9173718.0,9639723.0,9949075.0,10544942.0,10864304.0,11164507.0
KWT,388792.46875,406046.34375,426787.75,479280.4375,557469.4375,644773.0625,717307.25,875517.5625,926177.4375,967252.375
LAO,79813.234375,88743.2109375,99505.6953125,109536.3515625,121213.203125,134362.15625,146845.59375,162036.09375,176197.296875,191343.46875
LBN,421199.9375,440278.96875,457454.875,479861.5625,504659.6875,517372.96875,534666.375,552050.1875,569046.4375,583424.3125
LBR,11328.07421875,12890.794921875,13311.3583984375,15743.537109375,15624.322265625,19531.646484375,22321.068359375,23351.845703125,24248.978515625,25000.240234375
LCA,8356.88671875,9415.7177734375,9996.998046875,10406.408203125,10624.7646484375,10535.18359375,10869.7822265625,11135.833984375,11434.32421875,11749.2333984375
LKA,431402.09375,489020.78125,527837.9375,574935.4375,624534.8125,642643.6875,705958.5,744292.5,784955.3125,828180.25
LSO,23870.384765625,26041.529296875,26396.705078125,25234.685546875,25651.87109375,27492.763671875,27445.962890625,25665.921875,26642.498046875,27976.6875
LTU,295784.4375,300871.96875,321272.09375,335504.0625,339768.0625,347367.46875,365540.1875,361436.5,369845.78125,379209.5
LUX,196212.3125,218689.0,234439.796875,223653.734375,244216.4375,260022.59375,269390.1875,266885.21875,270810.71875,275867.1875
LVA,295564.375,355876.71875,375621.6875,391384.46875,428047.75,410074.75,446021.5,451151.0,454860.0625,460683.3125
MAC,128515.640625,142759.515625,151261.859375,160330.875,174397.203125,186576.84375,196040.859375,203840.890625,211682.125,216005.109375
MAR,1171190.125,1356419.25,1416277.875,1392401.5,1337083.75,1401094.625,1424017.0,1432026.625,1479698.875,1531662.875
MDA,70998.0859375,70017.578125,76610.203125,82521.7109375,123360.125,97739.8046875,105629.6484375,114124.359375,114763.8984375,116100.4765625
MDG,108696.6328125,117014.296875,109394.2890625,101638.0859375,98218.3203125,101635.1328125,95803.4296875,94039.9765625,97410.125,101824.8828125
MDV,14113.8603515625,16048.73828125,16540.744140625,17649.927734375,21156.4375,27791.615234375,40691.96875,48614.234375,54380.2421875,59680.171875
MEX,7604639.5,8831397.0,9095415.0,9370242.0,9726639.0,10208794.0,10410085.0,10602921.0,10782283.0,10933568.0
MKD,144844.5625,131035.046875,135257.5,142722.90625,154549.3125,147868.390625,153666.03125,130288.5546875,134079.71875,138411.671875
MLI,35220.3359375,40688.10546875,47954.5859375,45753.12890625,47726.16796875,46168.4296875,49717.74609375,60989.2109375,66092.6328125,72468.1796875
MLT,44660.22265625,46848.65625,50218.23828125,56332.58984375,51219.35546875,53031.44921875,57455.12890625,58251.33203125,60101.9921875,62440.54296875
MNE,30731.46875,33427.1640625,35042.1640625,36385.33984375,36623.32421875,41270.0703125,38199.875,42347.5859375,44881.94140625,47241.96484375
MNG,136814.828125,147267.171875,155398.6875,159563.453125,162362.453125,160673.46875,158434.59375,159916.171875,165549.5625,174303.765625
MOZ,48024.4140625,53944.83203125,59805.0390625,74814.671875,87260.7421875,97425.109375,98384.515625,92678.5234375,104576.921875,116302.3359375
MRT,76241.046875,79968.203125,83178.1875,86002.203125,89491.09375,89373.140625,91550.4296875,93609.609375,95437.6484375,97626.71875
MUS,87515.0390625,96305.4296875,94158.71875,91935.984375,90234.3203125,90822.1640625,90996.734375,90862.578125,93840.0546875,97370.296875
MWI,40432.27734375,38902.15625,34753.80078125,34044.06640625,29903.865234375,26106.30859375,24878.580078125,23415.548828125,23818.27734375,24313.982421875
MYS,2180990.25,2325646.0,2460413.0,2597711.0,2762005.0,2950856.75,3118402.5,3306871.0,3457181.5,3598296.25
NAM,76270.5703125,84842.921875,81754.84375,88633.546875,93139.4296875,90935.84375,84975.8828125,76553.265625,78457.9609375,79837.9296875
NER,84230.8671875,93141.8984375,101522.25,102578.8984375,104313.109375,108333.1875,111932.625,120475.3984375,124894.4140625,130140.1171875
NGA,4590671.5,4579608.5,3928328.0,3689254.75,3570506.75,3288902.5,3066709.0,3007463.0,3095350.0,3203823.5
NLD,4060762.5,4188708.75,4337546.5,4696970.0,4627473.5,4641059.5,4667429.5,4626151.5,4672138.5,4745302.5
NOR,1343586.625,1396886.375,1538078.625,1589876.875,1639558.125,1644394.875,1670264.25,1643297.75,1679535.625,1723067.25
NPL,193038.515625,206731.296875,214621.203125,224015.984375,231420.515625,257135.703125,270758.90625,295804.125,320078.8125,345289.0625
NZL,492855.4375,515576.9375,554460.8125,598674.5625,650210.875,635209.5625,662688.25,623105.3125,639693.0,656662.8125
OMN,438697.28125,480246.84375,493927.375,539747.75,552594.875,638637.0625,695033.9375,704279.8125,746295.3125,785886.75
PAK,1309276.0,1392917.0,1456188.875,1472303.875,1531370.25,1590108.375,1590707.5,1615617.625,1676369.625,1718255.0
PAN,152531.90625,173278.75,203254.46875,236797.140625,280429.4375,328832.09375,380372.28125,445156.625,486019.25,524603.0625
PER,810137.625,866464.75,943863.5625,1022427.1875,1101532.125,1188474.375,1266208.25,1351102.375,1407059.125,1466834.875
PHL,1961290.125,2108260.75,2111940.75,2118068.25,2138567.0,2206549.0,2293114.25,2361578.25,2562217.75,2753356.0
POL,2252855.25,2357119.75,2480005.75,2569084.5,2673441.25,2824923.0,2944387.25,2954101.5,3046456.5,3148161.0
PRT,2367201.75,2354295.75,2471046.5,2588537.25,2739387.5,2708540.25,2950568.5,2874240.0,2886604.75,2913985.25
PRY,255069.21875,270300.0,266756.25,264593.375,262844.0625,266320.09375,266002.75,268069.875,278483.75,288482.90625
QAT,666916.6875,803338.1875,934266.1875,1053231.875,997294.625,1066946.25,1250711.25,1368876.375,1497159.625,1627417.25
ROU,1396356.5,1653618.125,1796223.5,1718680.75,1655918.375,1632861.375,1594981.875,1696858.625,1732949.75,1805810.125
RUS,14651546.0,14850185.0,15563808.0,16298533.0,17092118.0,18390230.0,18726002.0,19270074.0,19335736.0,19423886.0
RWA,26238.962890625,28498.71875,29684.408203125,32156.82421875,33860.67578125,34737.40234375,41274.7734375,42799.13671875,46138.53125,50998.0703125
SAU,3861117.25,4363696.5,4601948.5,5009194.5,5103766.0,5953650.0,6480304.5,6659209.0,6867913.5,7093384.5
SDN,617112.25,797808.125,492063.5625,451944.4375,400356.125,326759.75,237858.546875,310792.8125,313701.15625,317575.8125
SEN,139264.078125,146880.84375,147832.171875,135345.125,135238.015625,137906.328125,136900.25,142157.015625,151695.59375,161783.921875
SGP,1624696.0,1737728.5,1796339.75,1867905.875,1924312.625,1976148.75,1999486.375,2027498.0,2090310.625,2148978.0
SLE,19438.228515625,23111.419921875,22736.818359375,17569.056640625,16129.2529296875,18948.3125,19388.9375,17063.455078125,16984.845703125,16960.162109375
SLV,92151.8359375,108011.953125,122390.1171875,131115.203125,142051.71875,151442.171875,166433.375,182906.453125,188539.5625,195583.4375
SRB,620589.1875,632378.0625,623443.0,661529.1875,652138.25,568245.6875,614735.0625,609360.0,613213.4375,621227.6875
STP,416.84710693359375,412.7615966796875,4813.8994140625,4032.0078125,6154.4892578125,4870.2216796875,4127.3544921875,3835.266357421875,3822.662109375,3792.67626953125
SUR,46661.13671875,49890.265625,51129.359375,52392.81640625,54132.6484375,56398.2734375,57531.77734375,63196.59765625,63465.09375,63765.5546875
SVK,557856.5,584258.375,627144.5625,651014.9375,724223.0625,719076.1875,743381.3125,752177.3125,763242.5625,777340.3125
SVN,350882.90625,366662.5,425718.625,453743.03125,448670.125,459790.3125,486670.875,487921.96875,490060.0625,493944.84375
SWE,2103405.5,2151252.25,2295762.0,2497897.0,2481393.75,2525695.5,2619055.5,2688589.75,2716572.75,2743785.0
SWZ,48526.60546875,53061.28515625,47874.6484375,45453.51953125,43660.03515625,38747.30859375,34318.2734375,31260.453125,31811.658203125,31638.859375
SYR,397627.6875,412067.71875,414588.78125,412085.65625,415161.375,409389.375,405732.09375,404017.28125,404443.46875,407660.3125
TCD,39623.6796875,44179.77734375,41049.9453125,39674.2265625,48228.3125,49935.73046875,59662.515625,45017.234375,45990.40625,47048.18359375
TGO,39013.95703125,44013.87109375,41973.4921875,42321.71875,42508.21484375,43716.6640625,43350.65625,44691.953125,46150.6796875,47682.109375
THA,4826366.0,5139581.5,5215776.5,5297230.5,5367139.0,5460709.0,5411433.5,5492121.5,5555844.0,5630091.0
TJK,242044.375,272940.34375,286661.6875,293210.6875,532515.1875,323714.09375,339823.78125,359015.96875,357354.65625,357036.71875
TKM,342621.84375,377651.75,408794.34375,448706.53125,495112.46875,532055.375,571817.0,614657.75,658779.5,703502.75
TTO,162481.796875,177479.953125,140549.03125,81455.4296875,74165.5625,94797.34375,85601.875,74526.8203125,76976.578125,78186.5859375
TUN,656896.1875,714156.1875,642909.125,566336.4375,497870.03125,439830.1875,384156.8125,340799.0,346211.0625,351555.28125
TUR,5028124.0,5209663.0,6185293.5,6979871.0,8251150.0,8913575.0,9337856.0,9267063.0,9820866.0,10235724.0
TWN,4088598.5,4309665.5,4257215.0,4259246.5,4259364.0,4192868.75,4114637.5,4109507.25,4170915.75,4258740.0
TZA,492416.625,580579.9375,500709.90625,442747.03125,404925.65625,379280.125,346519.96875,318138.90625,354748.84375,397482.6875
UGA,208795.765625,246805.78125,230774.625,216088.09375,204043.6875,186337.078125,172151.078125,158918.359375,170159.203125,182602.96875
UKR,2507857.25,2478182.25,2965044.0,3490555.5,4043566.75,4875920.0,5774449.5,7039307.0,7091753.5,7085837.5
URY,242504.078125,261827.5,269012.03125,277738.96875,282334.75,292663.15625,299146.90625,313841.28125,315459.28125,318946.03125
USA,61054648.0,61672612.0,62435580.0,63232880.0,64124200.0,65057788.0,65974044.0,66942704.0,68007384.0,69059088.0
UZB,482233.28125,526183.8125,572227.8125,627691.0,695659.625,756616.75,819613.125,899096.375,1008323.875,1162961.25
VCT,7672.583984375,8543.19921875,8494.56640625,8537.05859375,8011.6875,8561.6591796875,8303.4453125,8906.080078125,9096.08984375,9191.970703125
VEN,2506444.5,2741270.5,2743113.75,2543152.75,1803541.125,1761539.375,622800.5625,230657.359375,224248.515625,217905.09375
VNM,1161342.0,1220712.375,1270884.375,1321143.125,1392460.5,1479631.125,1559861.5,1693455.375,1833390.375,2009263.375
YEM,235899.5,218353.859375,166384.5,169212.84375,169380.03125,768517.3125,901722.25,537806.5,541075.125,548553.3125
ZAF,2367531.25,2596087.25,2610133.0,2668322.75,2727571.5,2753442.0,2773613.5,2791243.75,2846327.75,2897706.0
ZMB,258780.984375,305255.53125,277846.3125,267679.90625,265958.90625,263845.9375,280310.75,275619.03125,289038.21875,303724.1875
ZWE,70862.25,70500.796875,54658.9765625,59488.94140625,57715.58203125,61790.62890625,64844.19140625,67627.5625,68826.7734375,69588.2421875
